Log_File,Tool,Step,Sample,Runtime_s,Peak_RAM_MB,Aim
featureCounts_hisat2_SRR1643426.log,FeatureCounts_Hisat2,quant,SRR1643426,3.13,119.125,Aim2_Accuracy
featureCounts_hisat2_SRR1643427.log,FeatureCounts_Hisat2,quant,SRR1643427,3.01,119.25,Aim2_Accuracy
featureCounts_hisat2_SRR1643434.log,FeatureCounts_Hisat2,quant,SRR1643434,1.42,119.375,Aim2_Accuracy
featureCounts_hisat2_SRR896663.log,FeatureCounts_Hisat2,quant,SRR896663,3.15,119.375,Aim1_Reproducibility
featureCounts_hisat2_SRR896679.log,FeatureCounts_Hisat2,quant,SRR896679,2.68,119.5,Aim1_Reproducibility
featureCounts_hisat2_SRR896743.log,FeatureCounts_Hisat2,quant,SRR896743,3.74,119.375,Aim1_Reproducibility
featureCounts_hisat2_SRR896759.log,FeatureCounts_Hisat2,quant,SRR896759,3.19,119.5,Aim1_Reproducibility
featureCounts_star_SRR1643426.log,FeatureCounts_Star,quant,SRR1643426,2.45,119.375,Aim2_Accuracy
featureCounts_star_SRR1643427.log,FeatureCounts_Star,quant,SRR1643427,2.13,119.125,Aim2_Accuracy
featureCounts_star_SRR1643434.log,FeatureCounts_Star,quant,SRR1643434,0.52,60.75,Aim2_Accuracy
featureCounts_star_SRR896663.log,FeatureCounts_Star,quant,SRR896663,1.91,119.5,Aim1_Reproducibility
featureCounts_star_SRR896679.log,FeatureCounts_Star,quant,SRR896679,1.34,119.5,Aim1_Reproducibility
featureCounts_star_SRR896743.log,FeatureCounts_Star,quant,SRR896743,2.25,119.125,Aim1_Reproducibility
featureCounts_star_SRR896759.log,FeatureCounts_Star,quant,SRR896759,1.03,119.5,Aim1_Reproducibility
hisat2_aim3_align_SRR1293902.log,Hisat2,align_aim3,SRR1293902,1.02,89.125,Aim3_Junctions
hisat2_align_SRR1643426.log,Hisat2,align,SRR1643426,42.11,100.0,Aim2_Accuracy
hisat2_align_SRR1643427.log,Hisat2,align,SRR1643427,51.33,99.0,Aim2_Accuracy
hisat2_align_SRR1643434.log,Hisat2,align,SRR1643434,23.22,97.75,Aim2_Accuracy
hisat2_align_SRR896663.log,Hisat2,align,SRR896663,100.25,105.875,Aim1_Reproducibility
hisat2_align_SRR896679.log,Hisat2,align,SRR896679,80.01,105.25,Aim1_Reproducibility
hisat2_align_SRR896743.log,Hisat2,align,SRR896743,100.5,106.0,Aim1_Reproducibility
hisat2_align_SRR896759.log,Hisat2,align,SRR896759,69.61,107.625,Aim1_Reproducibility
hisat2_index_full.log,Hisat2,index,full,15.96,185.51953125,Indexing
hisat2_index_noChr21.log,Hisat2,index,noChr21,15.96,185.64453125,Indexing
kallisto_index.log,Kallisto,index,N/A,5.61,62.796875,Indexing
kallisto_quant_SRR1643426.log,Kallisto,quant,SRR1643426,17.34,130.16015625,Aim2_Accuracy
kallisto_quant_SRR1643427.log,Kallisto,quant,SRR1643427,17.23,130.47265625,Aim2_Accuracy
kallisto_quant_SRR1643434.log,Kallisto,quant,SRR1643434,17.83,116.83203125,Aim2_Accuracy
kallisto_quant_SRR896663.log,Kallisto,quant,SRR896663,60.11,105.7109375,Aim1_Reproducibility
kallisto_quant_SRR896679.log,Kallisto,quant,SRR896679,57.35,104.45703125,Aim1_Reproducibility
kallisto_quant_SRR896743.log,Kallisto,quant,SRR896743,70.76,104.08203125,Aim1_Reproducibility
kallisto_quant_SRR896759.log,Kallisto,quant,SRR896759,73.13,103.33203125,Aim1_Reproducibility
salmon_index.log,Salmon,index,N/A,22.38,411.328125,Indexing
salmon_quant_SRR1643426.log,Salmon,quant,SRR1643426,39.45,669.546875,Aim2_Accuracy
salmon_quant_SRR1643427.log,Salmon,quant,SRR1643427,25.99,671.375,Aim2_Accuracy
salmon_quant_SRR1643434.log,Salmon,quant,SRR1643434,22.35,682.15625,Aim2_Accuracy
salmon_quant_SRR896663.log,Salmon,quant,SRR896663,61.45,730.1171875,Aim1_Reproducibility
salmon_quant_SRR896679.log,Salmon,quant,SRR896679,37.65,730.125,Aim1_Reproducibility
salmon_quant_SRR896743.log,Salmon,quant,SRR896743,89.66,734.2421875,Aim1_Reproducibility
salmon_quant_SRR896759.log,Salmon,quant,SRR896759,57.08,729.18359375,Aim1_Reproducibility
star_1pass_align_SRR1293902.log,Star,align_1pass,SRR1293902,357.46,1180.22265625,Aim3_Junctions
star_2pass_align_SRR1293902.log,Star,align_2pass,SRR1293902,719.15,2278.3828125,Aim3_Junctions
star_align_SRR1643426.log,Star,align,SRR1643426,665.7,1572.12109375,Aim2_Accuracy
star_align_SRR1643427.log,Star,align,SRR1643427,655.34,1571.80078125,Aim2_Accuracy
star_align_SRR1643434.log,Star,align,SRR1643434,966.55,1382.85546875,Aim2_Accuracy
star_align_SRR896663.log,Star,align,SRR896663,13204.0,1571.92578125,Aim1_Reproducibility
star_align_SRR896679.log,Star,align,SRR896679,8487.0,1571.984375,Aim1_Reproducibility
star_align_SRR896743.log,Star,align,SRR896743,12120.0,1572.12109375,Aim1_Reproducibility
star_align_SRR896759.log,Star,align,SRR896759,11817.0,1571.76171875,Aim1_Reproducibility
star_index_full.log,Star,index,full,24.47,1153.0625,Indexing
star_index_noChr21.log,Star,index,noChr21,19.63,1238.546875,Indexing
